start_date_time;RCORR_E
2014-11-03 09:43:00;237.670
2014-11-03 09:44:00;233.440
2014-11-03 09:45:00;234.920
2014-11-03 09:46:00;234.620
2014-11-03 09:47:00;242.550
2014-11-03 09:48:00;232.940
2014-11-03 09:49:00;232.240
2014-11-03 09:50:00;223.900
2014-11-03 09:51:00;233.210
2014-11-03 09:52:00;229.560
2014-11-03 09:53:00;230.740
2014-11-03 09:54:00;234.990
2014-11-03 09:55:00;233.690
2014-11-03 09:56:00;231.860
2014-11-03 09:57:00;235.170
2014-11-03 09:58:00;234.790
2014-11-03 09:59:00;231.640
2014-11-03 10:00:00;236.440
2014-11-03 10:01:00;237.770
2014-11-03 10:02:00;235.370
2014-11-03 10:03:00;234.820
2014-11-03 10:04:00;233.160
2014-11-03 10:05:00;234.720
2014-11-03 10:06:00;235.390
2014-11-03 10:07:00;239.420
2014-11-03 10:08:00;235.720
2014-11-03 10:09:00;229.630
2014-11-03 10:10:00;237.670
2014-11-03 10:11:00;238.320
2014-11-03 10:12:00;236.290
2014-11-03 10:13:00;238.020
2014-11-03 10:14:00;231.110
2014-11-03 10:15:00;233.940
2014-11-03 10:16:00;239.370
2014-11-03 10:17:00;232.340
2014-11-03 10:18:00;232.460
2014-11-03 10:19:00;230.240
2014-11-03 10:20:00;234.470
2014-11-03 10:21:00;232.490
2014-11-03 10:22:00;238.340
2014-11-03 10:23:00;236.020
2014-11-03 10:24:00;231.440
2014-11-03 10:25:00;239.550
2014-11-03 10:26:00;227.660
2014-11-03 10:27:00;229.940
2014-11-03 10:28:00;235.220
2014-11-03 10:29:00;234.720
2014-11-03 10:30:00;232.410
2014-11-03 10:31:00;231.890
2014-11-03 10:32:00;236.920
2014-11-03 10:33:00;240.220
2014-11-03 10:34:00;232.140
2014-11-03 10:35:00;240.020
2014-11-03 10:36:00;236.990
2014-11-03 10:37:00;238.650
2014-11-03 10:38:00;237.390
2014-11-03 10:39:00;235.570
2014-11-03 10:40:00;238.650
2014-11-03 10:41:00;236.990
2014-11-03 10:42:00;231.740
2014-11-03 10:43:00;238.390
2014-11-03 10:44:00;237.440
2014-11-03 10:45:00;230.760
2014-11-03 10:46:00;232.790
2014-11-03 10:47:00;232.360
2014-11-03 10:48:00;232.090
2014-11-03 10:49:00;235.340
2014-11-03 10:50:00;231.510
2014-11-03 10:51:00;239.820
2014-11-03 10:52:00;234.140
2014-11-03 10:53:00;235.640
2014-11-03 10:54:00;232.610
2014-11-03 10:55:00;232.090
2014-11-03 10:56:00;230.340
2014-11-03 10:57:00;228.310
2014-11-03 10:58:00;235.520
2014-11-03 10:59:00;235.290
2014-11-03 11:00:00;232.560
2014-11-03 11:01:00;235.140
2014-11-03 11:02:00;228.580
2014-11-03 11:03:00;242.150
2014-11-03 11:04:00;236.220
2014-11-03 11:05:00;235.890
2014-11-03 11:06:00;236.270
2014-11-03 11:07:00;235.440
2014-11-03 11:08:00;235.290
2014-11-03 11:09:00;235.620
2014-11-03 11:10:00;235.970
2014-11-03 11:11:00;237.840
2014-11-03 11:12:00;234.390
2014-11-03 11:13:00;232.310
2014-11-03 11:14:00;237.570
2014-11-03 11:15:00;235.370
2014-11-03 11:16:00;235.670
2014-11-03 11:17:00;234.520
2014-11-03 11:18:00;237.920
2014-11-03 11:19:00;232.560
2014-11-03 11:20:00;237.890
2014-11-03 11:21:00;236.270
2014-11-03 11:22:00;231.160
2014-11-03 11:23:00;230.390
2014-11-03 11:24:00;232.010
2014-11-03 11:25:00;236.190
2014-11-03 11:26:00;233.310
2014-11-03 11:27:00;238.770
2014-11-03 11:28:00;230.560
2014-11-03 11:29:00;237.770
2014-11-03 11:30:00;239.300
2014-11-03 11:31:00;238.670
2014-11-03 11:32:00;232.940
2014-11-03 11:33:00;234.320
2014-11-03 11:34:00;234.990
2014-11-03 11:35:00;223.730
2014-11-03 11:36:00;233.490
2014-11-03 11:37:00;234.040
2014-11-03 11:38:00;236.220
2014-11-03 11:39:00;235.040
2014-11-03 11:40:00;229.740
2014-11-03 11:41:00;231.790
2014-11-03 11:42:00;230.660
2014-11-03 11:43:00;235.090
2014-11-03 11:44:00;232.290
